inchikey,chemical,company
Error,"['(E)-1,1,2,2,3,3,4,5,6,7,8,8,8-tridecafluorooct-6-ene-1-sulfonic acid']","['Queensland Health [Unknown]', 'Australian Research Council [Unknown]', 'Strategic Environmental Research and Development Program [Unknown]', 'University of Queensland [University]']"
Error,['(F(CF2)6CF2H) and 3-F-7:3 acid'],"['U.S. Department of Defense [Government]', 'China Scholarship Council [Unknown]', 'Auburn University [University]', 'National Science Foundation [Foundation]']"
Error,['(FITC)-N-SiO2'],"['Department of Science and Technology, Ministry of Science and Technology, India [Government]', 'ICAR - National Agricultural Science Fund [Unknown]']"
Error,['(Fe) (oxyhydr)oxides'],"['National Key Research and Development Program of China [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'U.S. Department of Agriculture [Government]', 'Modern Agricultural Technology Industry System of China [Unknown]']"
Error,['(Fe) oxide'],"['Biological and Environmental Research [Unknown]', 'Biological and Environmental Research [Unknown]', 'Guangdong Province Introduction of Innovative R&D Team [Unknown]', ""Ministry of Education of the People's Republic of China [Government]"", ""Ministry of Science and Technology of the People's Republic of China [Government]""]"
Error,['(Fe) oxides'],"['Office of Experimental Program to Stimulate Competitive Research [Unknown]', 'University of Delaware [University]', 'State of Delaware [Unknown]', 'Delaware Environmental Institute [Unknown]', 'Deutsche Forschungsgemeinschaft [Unknown]', 'Bundesministerium für Bildung und Forschung [Unknown]', 'Deutscher Akademischer Austauschdienst [Unknown]', 'Australian Research Council [Unknown]', 'Australian Synchrotron [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Division of Environmental Biology [Unknown]', 'National Science Foundation [Foundation]']"
Error,['(Fe-Me) and sulfidated'],['Natural Science Foundation of Zhejiang Province [Foundation]']
Error,['(Fe-O)2-CO'],"['U.S. Department of Agriculture [Government]', 'Department of Energy, office of science [Government]']"
Error,"['(Fe1- x,Ca x)(OH)2']","['Agence Nationale de la Recherche [Unknown]', 'Agence Nationale pour la Gestion des Déchets Radioactifs [Unknown]', 'China Scholarship Council [Unknown]']"
Error,['(GS)2-Hg'],"['Agence Nationale de la Recherche [Unknown]', 'Schweizerischer Nationalfonds zur FÃ¶rderung der Wissenschaftlichen Forschung [Unknown]', ""Université de Pau et des Pays de l'Adour [University]""]"
Error,['(Gud)2(MSA)2'],"['Danmarks Frie Forskningsfond [Unknown]', 'Dalian University of Technology [University]', 'National Natural Science Foundation of China [Foundation]', 'Major International Joint Research Project [Unknown]']"
Error,['(H2O)2'],"['Shandong Province [Unknown]', 'Shandong University [University]', 'National Natural Science Foundation of China [Foundation]', 'National Natural Science Foundation of China [Foundation]']"
Error,['(H2O)n'],"['Shandong Province [Unknown]', 'Shandong University [University]', 'National Natural Science Foundation of China [Foundation]']"
Error,['(H2SO4)n(amine)n'],"['Samsung [Unknown]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'Suomen Akatemia [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'H2020 European Research Council [Unknown]']"
Error,['(HIO3)m(HIO2)n'],"['Bundesministerium für Bildung und Forschung [Unknown]', 'FP7 People: Marie-Curie Actions [Unknown]', 'H2020 Marie Sklodowska-Curie Actions [Unknown]', 'Academy of Finland [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'H2020 European Research Council [Unknown]', 'Jenny and Antti Wihuri Foundation [Foundation]', 'Key International (Regional) Joint Research Program [Unknown]']"
Error,['(HPO32-) and its monoethyl ester'],['Foreign Agricultural Service [Unknown]']
Error,['(HSA)-PFAS'],"['Youth Innovation Promotion Association of the Chinese Academy of Sciences [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Chinese Academy of Sciences [Unknown]']"
Error,['(L-FABP)-PFAS'],"['Youth Innovation Promotion Association of the Chinese Academy of Sciences [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Chinese Academy of Sciences [Unknown]']"
Error,['(LC)-quadrupole'],"['Bundesministerium für Bildung und Forschung [Unknown]', 'European Commission [Unknown]', 'Projekt NaWi der Universitét Koblenz-Landau [University]']"
Error,['(MM)-PMF'],"['Research Grants Council, University Grants Committee [University]', 'National Natural Science Foundation of China [Foundation]', 'Shanghai Rising-Star Program [Unknown]', 'Shanghai Municipal Bureau of Ecology and Environment Fund Project [Unknown]']"
Error,['(MW)-fractionated humic acids'],"['Natural Science Foundation of Hebei Province [Foundation]', 'Tianjin Science and Technology Committee [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
Error,['(Methanobacterium) methanogens'],['Not Found [Unknown]']
Error,"['(Mg,Fe)2SiO4']","['Nederlandse Organisatie voor Wetenschappelijk Onderzoek [Unknown]', 'Japan Society for the Promotion of Science [Unknown]']"
Error,['(Mn) oxide'],"['Institut Universitaire de France [University]', 'Région Bretagne [Unknown]', 'National Science Foundation [Foundation]', 'National Research Foundation of Korea [Foundation]', 'Changwon National University [University]']"
Error,['(Mn) oxides'],"['Deutsche Forschungsgemeinschaft [Unknown]', 'Schweizerischer Nationalfonds zur FÃ¶rderung der Wissenschaftlichen Forschung [Unknown]', 'Australian Research Council [Unknown]', 'China Postdoctoral Science Foundation [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Key Laboratory of Mineralogy and Metallogeny [Unknown]', 'Canadian Institutes of Health Research [Unknown]', 'National Research Council Canada [Unknown]', 'Western Economic Diversification Canada [Unknown]', 'U.S. Department of Energy [Government]', 'University of Saskatchewan [University]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'Province of Saskatchewan [Unknown]', 'Division of Earth Sciences [Unknown]', 'Biological and Environmental Research [Unknown]', 'Oak Ridge National Laboratory [Government]', 'National Institute of Food and Agriculture [University]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'China Postdoctoral Science Foundation [Foundation]', 'Central University Basic Research Fund of China [University]', 'National Natural Science Foundation of China [Foundation]', 'CAS Key Laboratory of Urban Pollutant Conversion [Unknown]']"
Error,['(NH4)2SO3'],"['Natural Science Foundation of Hebei Province [Foundation]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'China Scholarship Council [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
Error,['(Na) humate'],"['National Institute of Environmental Health Sciences [University]', 'Seventh Framework Programme [Unknown]']"
Error,['(O-3S)/C ≥ 0'],"['National Key Research and Development Program of China [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
Error,"['(OH-PCBs), 4 halogenphenols']","['National Key Research and Development Program of China [Unknown]', 'Youth Innovation Promotion Association of the Chinese Academy of Sciences [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
Error,"['(OH-PDBEs), 6 hydroxyl polychlorobiphenyls']","['National Key Research and Development Program of China [Unknown]', 'Youth Innovation Promotion Association of the Chinese Academy of Sciences [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
Error,['(PEG)n-COOH-QDots'],['National Natural Science Foundation of China [Foundation]']
Error,['(PFAA)-precursors'],"['Ministry of Science and Technology, China [Government]', 'Ministry of Education, China [Government]', 'National Natural Science Foundation of China [Foundation]', 'Tianjin Natural Science Foundation [Foundation]']"
Error,['(PFOS)─in'],"['Texas A and M University [University]', 'Division of Chemical, Bioengineering, Environmental, and Transport Systems [Unknown]', 'Texas Hazardous Waste Research Center [Unknown]']"
Error,['(PM2.5)-bound lead'],"['Key R&D Plans of Guangzhou Science and Technology [Unknown]', 'Hong Kong Research Grants Council [Unknown]', 'Guangdong-Hong Kong-Macao Joint Laboratory for Contaminants Exposure and Health [Unknown]', 'National Key Research and Development Project [Unknown]']"
